experiment,dataset,source_train_dataset,target_test_dataset,transfer_direction,model,seed,condition,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,Preprocess_ms_per_image,Inference_ms_per_image,Postprocess_ms_per_image,FPS,source_file
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,123,global,0.4282538569465981,0.6121081075598724,0.4556176763799812,,,,,61.7701841148148,,16.189040300434566,faster_rcnn/acdc_in_domain_faster_rcnn_seed123/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,123,fog,0.5721562015340912,0.7642611259560074,0.6214662145460944,,,,,61.78693779998639,,16.184650601024288,faster_rcnn/acdc_in_domain_faster_rcnn_seed123/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,123,rain,0.3744993259108104,0.5446134317103036,0.3881243452412952,,,,,60.9977929529417,,16.39403577718747,faster_rcnn/acdc_in_domain_faster_rcnn_seed123/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,123,snow,0.5153502311171907,0.6972506963058277,0.5676660882179746,,,,,61.90468892999661,,16.153865196396115,faster_rcnn/acdc_in_domain_faster_rcnn_seed123/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,42,global,0.4127980780552399,0.5963486407541871,0.4499241406106068,,,,,62.10022086659726,,16.103002308931952,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,42,fog,0.5472437092089635,0.7540253451129051,0.5907400693384155,,,,,61.85775137008022,,16.166122722716473,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,42,rain,0.363071606523752,0.5262181553197531,0.3972955172230559,,,,,61.891234082309786,,16.15737696666526,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv
in_domain,ACDC,ACDC,ACDC,ACDC in-domain,Faster R-CNN,42,snow,0.4888651036859383,0.6951031058760845,0.5272417684206996,,,,,61.89873515009822,,16.15541896898378,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,123,global,0.2545904665070368,0.3771745413995682,0.2769068869151018,,,,,46.691044735708985,,21.417383261831517,faster_rcnn/acdc_to_dawn_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,123,fog,0.2408578987304928,0.3548685333885831,0.264292219255111,,,,,46.30203913334299,,21.59732095427048,faster_rcnn/acdc_to_dawn_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,123,rain,0.2438595526250922,0.3867597133966967,0.2383096538043165,,,,,47.05456562502377,,21.25192288393364,faster_rcnn/acdc_to_dawn_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,123,snow,0.2949967357580869,0.4391368132159599,0.3222634725575686,,,,,46.75322482499382,,21.38889892073091,faster_rcnn/acdc_to_dawn_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,42,global,0.2615932598932581,0.3822258713734248,0.2798823711481262,,,,,48.72164651428648,,20.5247579165202,faster_rcnn/acdc_to_dawn_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,42,fog,0.2525635414274303,0.3642835605302404,0.2708412623815531,,,,,48.817642150002406,,20.48439777011948,faster_rcnn/acdc_to_dawn_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,42,rain,0.2537577391498581,0.3861728042849348,0.2637236344496854,,,,,49.09169515000542,,20.37004419880762,faster_rcnn/acdc_to_dawn_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,42,snow,0.2962297770323735,0.4401538320143034,0.3046665317097202,,,,,48.69929170000376,,20.534179555632488,faster_rcnn/acdc_to_dawn_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,456,global,0.2605675177896172,0.3843760586833531,0.2838008952503693,,,,,48.71340210000719,,20.528231593166687,faster_rcnn/acdc_to_dawn_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,456,fog,0.2375413068856995,0.3402483452093037,0.2669041177181918,,,,,48.15313815001901,,20.76707850035741,faster_rcnn/acdc_to_dawn_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,456,rain,0.2140132260721682,0.3555459398098769,0.2036302762265302,,,,,49.620537375005824,,20.15294579424902,faster_rcnn/acdc_to_dawn_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
acdc_>dawn,DAWN,ACDC,DAWN,ACDC → DAWN,Faster R-CNN,456,snow,0.3448883725140518,0.5142795482405853,0.3791422859426305,,,,,50.45907777499679,,19.81803956979005,faster_rcnn/acdc_to_dawn_faster_rcnn_seed456/dawn_to_acdc_faster_rcnn_seed456_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,123,global,0.4589286508126955,0.7196382866236357,0.5454805847079561,,,,,50.00490868053728,,19.99848879716397,faster_rcnn/dawn_in_domain_faster_rcnn_seed123/dawn_faster_rcnn_in_domain_seed123_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,123,fog,0.3992610545041689,0.6070507084312533,0.4516983254988812,,,,,50.10266471666304,,19.95901826090743,faster_rcnn/dawn_in_domain_faster_rcnn_seed123/dawn_faster_rcnn_in_domain_seed123_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,123,rain,0.5020375302475746,0.7951306895994796,0.6079014422545913,,,,,49.67782332500974,,20.129706437773034,faster_rcnn/dawn_in_domain_faster_rcnn_seed123/dawn_faster_rcnn_in_domain_seed123_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,123,snow,0.475487367686343,0.7567334618401743,0.5768419863703956,,,,,50.23423799993907,,19.906741692811444,faster_rcnn/dawn_in_domain_faster_rcnn_seed123/dawn_faster_rcnn_in_domain_seed123_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,456,global,0.4225882841579425,0.6642613039870598,0.4613244765595545,,,,,49.573588988888815,,20.172777308637816,faster_rcnn/dawn_in_domain_faster_rcnn_seed456/dawn_faster_rcnn_in_domain_seed456_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,456,fog,0.3803514544284832,0.6228914788618252,0.3584604964283095,,,,,49.55869786666275,,20.178092707166996,faster_rcnn/dawn_in_domain_faster_rcnn_seed456/dawn_faster_rcnn_in_domain_seed456_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,456,rain,0.3902541283907104,0.620438384302679,0.4713641207771916,,,,,49.95005257500793,,20.019998947915848,faster_rcnn/dawn_in_domain_faster_rcnn_seed456/dawn_faster_rcnn_in_domain_seed456_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,456,snow,0.4971592696546338,0.7494540487966758,0.5541488124731622,,,,,49.21201652499576,,20.3202402708306,faster_rcnn/dawn_in_domain_faster_rcnn_seed456/dawn_faster_rcnn_in_domain_seed456_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,42,global,0.4678886240800453,0.7094693819504821,0.5521383184533495,,,,,48.683631941680176,,20.541393794611423,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,42,fog,0.4152942862772976,0.5998218916936809,0.47655081286224,,,,,48.61636005001249,,20.569207546004733,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,42,rain,0.5159682941787563,0.7634615453432885,0.579861945255735,,,,,49.03701587500109,,20.3927580452504,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv
in_domain,DAWN,DAWN,DAWN,DAWN in-domain,Faster R-CNN,42,snow,0.4724032917840819,0.765124708814477,0.6000021972420735,,,,,48.39751990002696,,20.662215792579133,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,123,global,0.1547963010458159,0.2618614661547307,0.1628801558695452,,,,,165.45754272221436,,6.043846557535874,faster_rcnn/dawn_to_acdc_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,123,fog,0.2100446823501219,0.3343778170133397,0.2294943314999243,,,,,165.454562910013,,6.043955406318274,faster_rcnn/dawn_to_acdc_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,123,rain,0.1424617531660111,0.2370859751800354,0.1523072348917379,,,,,164.3204045529501,,6.08567148261714,faster_rcnn/dawn_to_acdc_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,123,snow,0.1744703220505414,0.2990966495067431,0.1744262430709368,,,,,163.92265666000185,,6.100437977125625,faster_rcnn/dawn_to_acdc_faster_rcnn_seed123/dawn_to_acdc_faster_rcnn_seed123_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,42,global,0.1505961620566373,0.2641576402196102,0.1511902436917781,,,,,58.84044553705213,,16.99511264526872,faster_rcnn/dawn_to_acdc_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
dawn_>acdc,ACDC,DAWN,ACDC,DAWN → ACDC,Faster R-CNN,42,fog,0.2146560626503266,0.3691460555527988,0.2183816760118503,,,,,59.97342549998393,,16.674051743138598,faster_rcnn/dawn_to_acdc_faster_rcnn_seed42/dawn_to_acdc_faster_rcnn_seed42_results_summary.csv
