transfer_direction,model,condition,seeds,mAP50_95_mean,mAP50_95_std,mAP50_mean,mAP50_std,Precision_mean,Recall_mean,F1_mean,rank_within_direction_and_model
ACDC → DAWN,Faster R-CNN,snow,3,0.3120382951015041,0.028455681105955075,0.46452339782361624,0.04309309063000802,,,,1.0
ACDC → DAWN,Faster R-CNN,fog,3,0.24365424901454089,0.007891866942619752,0.35313347970937575,0.012111180881039067,,,,2.0
ACDC → DAWN,Faster R-CNN,rain,3,0.23721017261570618,0.02068978663078918,0.3761594858305028,0.017854266303455685,,,,3.0
ACDC → DAWN,YOLOv11s,snow,3,0.1844326353408545,0.016717613479078398,0.2912397743306823,0.011507971882624087,0.581178161199644,0.24604620775155284,0.34292451042098254,1.0
ACDC → DAWN,YOLOv11s,rain,3,0.16923381072596444,0.049698350289913096,0.2621127457898516,0.03516410138691892,0.7338149499495663,0.24811719369116883,0.3648923546691431,2.0
ACDC → DAWN,YOLOv11s,fog,3,0.08725610381274211,0.005194035303717006,0.15105192402951592,0.016801760209753176,0.3984629838779457,0.14304793171128216,0.2033932907445284,3.0
DAWN → ACDC,Faster R-CNN,fog,3,0.2131384796775659,0.0026794674540309865,0.3563526090439823,0.019116234775121102,,,,1.0
DAWN → ACDC,Faster R-CNN,snow,3,0.17654492005680336,0.002482159833586671,0.3061438362250281,0.006629321845819832,,,,2.0
DAWN → ACDC,Faster R-CNN,rain,3,0.1427488074522598,0.007730951813915948,0.24183295260996615,0.010123196853106245,,,,3.0
DAWN → ACDC,YOLOv11s,snow,3,0.10199340897885427,0.028270756314551844,0.1855833583786611,0.0507917040655575,0.5921689325519703,0.18593856464531214,0.2800564002616875,1.0
DAWN → ACDC,YOLOv11s,fog,3,0.0935262579817905,0.024640681771630955,0.1707455706438317,0.04384256908904992,0.5300549077740571,0.21794110514343157,0.3028273651072159,2.0
DAWN → ACDC,YOLOv11s,rain,3,0.07927259911630542,0.016604740853975352,0.1396289300217839,0.03114650517047666,0.3393434721457093,0.1604743031888096,0.21662789955753228,3.0
