scenario,metric,number_of_paired_seeds,paired_seeds,YOLO_mean,YOLO_std,Faster_mean,Faster_std,mean_difference_Faster_minus_YOLO,median_difference_Faster_minus_YOLO,std_of_paired_differences,paired_Cohens_dz,effect_size_magnitude,Faster_wins,YOLO_wins,ties,consistency_Faster,consistency_YOLO,winner_by_mean
ACDC in-domain,FPS,2,"42, 123",591.2057752276899,716.5444780891318,16.14602130468326,0.06083804723116918,-575.0597539230066,-575.0597539230066,716.4836400419006,-0.8026139353152245,large,0,2,0,0/2,2/2,YOLOv11s
ACDC in-domain,mAP50,2,"42, 123",0.5347926010038346,0.019269505155326463,0.6042283741570298,0.011143625846184372,0.06943577315319516,0.06943577315319516,0.008125879309142091,8.545016546710931,large,2,0,0,2/2,0/2,Faster R-CNN
ACDC in-domain,mAP50-95,2,"42, 123",0.3446434394497707,0.016573901330098503,0.420525967500919,0.010928886062599312,0.07588252805114828,0.07588252805114828,0.005645015267499192,13.44239553930651,large,2,0,0,2/2,0/2,Faster R-CNN
ACDC → DAWN,FPS,3,"42, 123, 456",216.44793122561842,86.88300691203801,20.823457590506134,0.5143576517384014,-195.62447363511228,-200.4891546920059,87.34081791977674,-2.239782936482172,large,0,3,0,0/3,3/3,YOLOv11s
ACDC → DAWN,mAP50,3,"42, 123, 456",0.18766742092015623,0.019382954851311578,0.381258823818782,0.0036968700987279326,0.19359140289862578,0.19838264699592847,0.023074814495134117,8.389727377416152,large,3,0,0,3/3,0/3,Faster R-CNN
ACDC → DAWN,mAP50-95,3,"42, 123, 456",0.11347044484445623,0.01667500837069121,0.2589170813966373,0.00378189555884087,0.14544663655218115,0.1456077429427052,0.019521166073261882,7.45071457341881,large,3,0,0,3/3,0/3,Faster R-CNN
DAWN in-domain,FPS,2,"123, 456",599.0907132355533,536.6746815369933,20.085633052900892,0.12324058834606665,-579.0050801826524,-579.0050801826524,536.5514409486472,-1.0791231483023236,large,0,2,0,0/2,2/2,YOLOv11s
DAWN in-domain,mAP50,2,"123, 456",0.530219829979287,0.031148443428143224,0.6919497953053477,0.03915743994397249,0.16172996532606082,0.16172996532606082,0.00800899651582927,20.193536731650696,large,2,0,0,2/2,0/2,Faster R-CNN
DAWN in-domain,mAP50-95,2,"123, 456",0.3136782785980541,0.05454900055562587,0.440758467485319,0.02569651969238137,0.12708018888726488,0.12708018888726488,0.028852480863244503,4.404480484350784,large,2,0,0,2/2,0/2,Faster R-CNN
DAWN → ACDC,FPS,3,"42, 123, 456",291.85765309076555,14.86064148747021,9.761241962776886,6.265521208384746,-282.0964111279887,-280.54159354084516,8.869467498922681,-31.80533793739626,large,0,3,0,0/3,3/3,YOLOv11s
DAWN → ACDC,mAP50,3,"42, 123, 456",0.15037372422538262,0.03697551580741521,0.2683476918559093,0.009316934966721091,0.11797396763052666,0.13098859942492092,0.027843480397335973,4.237040985789055,large,3,0,0,3/3,0/3,Faster R-CNN
DAWN → ACDC,mAP50-95,3,"42, 123, 456",0.08283676728713495,0.02055351737775043,0.15553831876018165,0.005351884807432046,0.0727015514730467,0.07952072654767171,0.01578539459578496,4.605621419971318,large,3,0,0,3/3,0/3,Faster R-CNN
