scenario,metric,seed,YOLOv11s,Faster R-CNN,difference_Faster_minus_YOLO,winner
ACDC in-domain,mAP50-95,42,0.3329239214285413,0.4127980780552399,0.07987415662669856,Faster R-CNN
ACDC in-domain,mAP50-95,123,0.3563629574710001,0.4282538569465981,0.07189089947559801,Faster R-CNN
ACDC in-domain,mAP50,42,0.5211670032383942,0.5963486407541871,0.07518163751579299,Faster R-CNN
ACDC in-domain,mAP50,123,0.5484181987692751,0.6121081075598724,0.06368990879059733,Faster R-CNN
ACDC in-domain,FPS,42,84.53231574908921,16.103002308931952,-68.42931344015726,YOLOv11s
ACDC in-domain,FPS,123,1097.8792347062904,16.189040300434566,-1081.690194405856,YOLOv11s
ACDC → DAWN,mAP50-95,42,0.1159855169505529,0.2615932598932581,0.1456077429427052,Faster R-CNN
ACDC → DAWN,mAP50-95,123,0.1287450506184209,0.2545904665070368,0.12584541588861592,Faster R-CNN
ACDC → DAWN,mAP50-95,456,0.0956807669643949,0.2605675177896172,0.16488675082522228,Faster R-CNN
ACDC → DAWN,mAP50,42,0.1838432243774963,0.3822258713734248,0.19838264699592847,Faster R-CNN
ACDC → DAWN,mAP50,123,0.2086774400042426,0.3771745413995682,0.1684971013953256,Faster R-CNN
ACDC → DAWN,mAP50,456,0.1704815983787298,0.3843760586833531,0.2138944603046233,Faster R-CNN
ACDC → DAWN,FPS,42,300.9560429766327,20.5247579165202,-280.4312850601125,YOLOv11s
ACDC → DAWN,FPS,123,127.37036441504996,21.41738326183152,-105.95298115321845,YOLOv11s
ACDC → DAWN,FPS,456,221.0173862851726,20.528231593166687,-200.4891546920059,YOLOv11s
DAWN in-domain,mAP50-95,123,0.3522502467978859,0.4589286508126955,0.1066784040148096,Faster R-CNN
DAWN in-domain,mAP50-95,456,0.2751063103982223,0.4225882841579425,0.14748197375972016,Faster R-CNN
DAWN in-domain,mAP50,123,0.5522451055507326,0.7196382866236357,0.16739318107290313,Faster R-CNN
DAWN in-domain,mAP50,456,0.5081945544078413,0.6642613039870598,0.1560667495792185,Faster R-CNN
DAWN in-domain,FPS,123,219.6044066296145,19.99848879716397,-199.60591783245053,YOLOv11s
DAWN in-domain,FPS,456,978.577019841492,20.172777308637816,-958.4042425328541,YOLOv11s
DAWN → ACDC,mAP50-95,42,0.0710754355089656,0.1505961620566373,0.07952072654767171,Faster R-CNN
DAWN → ACDC,mAP50-95,123,0.0708652517212725,0.1547963010458159,0.0839310493245434,Faster R-CNN
DAWN → ACDC,mAP50-95,456,0.1065696146311667,0.1612224931780917,0.05465287854692501,Faster R-CNN
DAWN → ACDC,mAP50,42,0.1272307465377231,0.2641576402196102,0.1369268936818871,Faster R-CNN
DAWN → ACDC,mAP50,123,0.1308728667298098,0.2618614661547307,0.13098859942492092,Faster R-CNN
DAWN → ACDC,mAP50,456,0.1930175594086149,0.2790239691933869,0.086006409784772,Faster R-CNN
DAWN → ACDC,FPS,42,308.63559444108193,16.99511264526872,-291.64048179581323,YOLOv11s
DAWN → ACDC,FPS,123,286.585440098381,6.043846557535874,-280.54159354084516,YOLOv11s
DAWN → ACDC,FPS,456,280.3519247328337,6.244766685526067,-274.1071580473076,YOLOv11s
