dataset,model,experiment,seed,condition,mAP50-95,mAP50,mAP75,Inference_ms_per_image,FPS,source_file,source_train_dataset,target_test_dataset,Precision,Recall,F1-score
ACDC,Faster R-CNN,in_domain,42,fog,0.5472437092089635,0.7540253451129051,0.5907400693384155,61.85775137008022,16.166122722716473,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv,,,,,
ACDC,Faster R-CNN,in_domain,42,global,0.4127980780552399,0.5963486407541871,0.4499241406106068,62.10022086659726,16.103002308931952,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv,,,,,
ACDC,Faster R-CNN,in_domain,42,rain,0.363071606523752,0.5262181553197531,0.3972955172230559,61.891234082309786,16.15737696666526,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv,,,,,
ACDC,Faster R-CNN,in_domain,42,snow,0.4888651036859383,0.6951031058760845,0.5272417684206996,61.89873515009822,16.15541896898378,faster_rcnn/acdc_in_domain_faster_rcnn_seed42/acdc_faster_rcnn_in_domain_results_summary.csv,,,,,
ACDC,YOLOv11s,in_domain,42,fog,0.4126636352338828,0.6276686829718906,0.4272475101155472,11.74539895003818,85.13972188205233,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv,,,0.8583596913941158,0.546958445957601,0.6681577218212356
ACDC,YOLOv11s,in_domain,42,global,0.3329239214285413,0.5211670032383942,0.3455456957176694,11.82979540000091,84.53231574908921,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv,,,0.7650000386663572,0.4412763826248984,0.5596999883814187
ACDC,YOLOv11s,in_domain,42,rain,0.3081403931462938,0.4835624486689747,0.3194468989421659,11.654375285293634,85.80468498057336,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv,,,0.7661113800345182,0.4058056430787584,0.5305705350258861
ACDC,YOLOv11s,in_domain,42,snow,0.3559817439453207,0.5598017190443728,0.3647993084376462,11.945241840035123,83.71534150513772,yolo/acdc_in_domain_yolo11s_seed42/acdc_yolo11s_in_domain_results_summary.csv,,,0.7242598610404571,0.4605567081048445,0.5630622424066168
DAWN,Faster R-CNN,in_domain,42,fog,0.4152942862772976,0.5998218916936809,0.47655081286224,48.61636005001249,20.569207546004733,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv,,,,,
DAWN,Faster R-CNN,in_domain,42,global,0.4678886240800453,0.7094693819504821,0.5521383184533495,48.683631941680176,20.541393794611423,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv,,,,,
DAWN,Faster R-CNN,in_domain,42,rain,0.5159682941787563,0.7634615453432885,0.579861945255735,49.03701587500109,20.3927580452504,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv,,,,,
DAWN,Faster R-CNN,in_domain,42,snow,0.4724032917840819,0.765124708814477,0.6000021972420735,48.39751990002696,20.662215792579133,faster_rcnn/dawn_indomain_fasterrcnn_r50fpn_seed42/dawn_faster_rcnn_in_domain_seed42_results_summary.csv,,,,,
DAWN,YOLOv11s,in_domain,42,fog,0.3846645751141019,0.6152619734360698,,,,yolo/dawn_in_domain_yolo11s_seed42/weather_results_summary.csv,,,0.8054512859364454,0.5621335015027892,0.662147101681615
DAWN,YOLOv11s,in_domain,42,global,0.3396287319883049,0.5812452930219402,,12.453300124533001,80.3,yolo/dawn_in_domain_yolo11s_seed42/weather_results_summary.csv,,,0.5776077486323775,0.5927543844416351,0.5850830538920928
DAWN,YOLOv11s,in_domain,42,rain,0.3572607295115205,0.5429430571864977,,,,yolo/dawn_in_domain_yolo11s_seed42/weather_results_summary.csv,,,0.6182433491817393,0.5737429511278196,0.5951624839690846
DAWN,YOLOv11s,in_domain,42,snow,0.4520038033502384,0.6822179184938334,,,,yolo/dawn_in_domain_yolo11s_seed42/weather_results_summary.csv,,,0.7550325595926238,0.6028949924924568,0.6704412892251774
