dataset,condition,model,mAP50-95,mAP50,mAP75,Precision,Recall,F1-score,FPS
DAWN,global,YOLOv11s,0.3396287319883049,0.5812452930219402,,0.5776077486323775,0.5927543844416351,,80.28485129652059
DAWN,global,Faster R-CNN,0.4320496450186615,0.6553286925130851,0.5067318878089618,,,,20.323206987598663
DAWN,fog,YOLOv11s,0.3846645751141019,0.6152619734360698,,0.8054512859364454,0.5621335015027892,,79.08614419353394
DAWN,fog,Faster R-CNN,0.3846823688892602,0.59974178308945,0.4756541486046771,,,,20.329152024556688
DAWN,rain,YOLOv11s,0.3572607295115205,0.5429430571864977,,0.6182433491817393,0.5737429511278196,,81.5007170144219
DAWN,rain,Faster R-CNN,0.4117210700231692,0.6130881032439947,0.4660443130604077,,,,20.227659342535908
DAWN,snow,YOLOv11s,0.4520038033502384,0.6822179184938334,,0.7550325595926238,0.6028949924924568,,80.2676926816059
DAWN,snow,Faster R-CNN,0.4997454961435551,0.753156191205811,0.5784972017618009,,,,20.4128095957034
ACDC,global,YOLOv11s,0.3329239214285413,0.5211670032383942,0.3455456957176694,0.7650000386663572,0.4412763826248984,0.5596999883814187,84.53231574908921
ACDC,global,Faster R-CNN,0.4127980780552399,0.5963486407541871,0.4499241406106068,,,,16.103002308931952
ACDC,fog,YOLOv11s,0.4126636352338828,0.6276686829718906,0.4272475101155472,0.8583596913941158,0.546958445957601,0.6681577218212356,85.13972188205233
ACDC,fog,Faster R-CNN,0.5472437092089635,0.7540253451129051,0.5907400693384155,,,,16.166122722716473
ACDC,rain,YOLOv11s,0.3081403931462938,0.4835624486689747,0.3194468989421659,0.7661113800345182,0.4058056430787584,0.5305705350258861,85.80468498057336
ACDC,rain,Faster R-CNN,0.363071606523752,0.5262181553197531,0.3972955172230559,,,,16.15737696666526
ACDC,snow,YOLOv11s,0.3559817439453207,0.5598017190443728,0.3647993084376462,0.7242598610404571,0.4605567081048445,0.5630622424066168,83.71534150513772
ACDC,snow,Faster R-CNN,0.4888651036859383,0.6951031058760845,0.5272417684206996,,,,16.15541896898378
